Baden-Wuerttemberg;Bayern;Berin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pflaz;Saarlaar;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen
;;;;;;;;;;;;;;;20220920
20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003;20221003
;;;20221031;20221031;20221031;;20221031;20221031;;;;20221031;20221031;20221031;20221031
;;;;;;;;;;;;20221116;;;
20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225;20221225
20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226;20221226
20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101;20230101
20230601;20230601;;;;;;;;;;;;;20230601;
;;20230308;;;;;;;;;;;;;
20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407;20230407
;;;20230409;;;;;;;;;;;;
20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410;20230410
20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501;20230501
20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518;20230518
;;;20230528;;;;;;;;;;;;
20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529;20230529
20230608;20230608;;;;;20230608;;;20230608;20230608;20230608;;;;
;20230815;;;;;;;;;;20230815;;;;
;;;;;;;;;;;;;;;20230920
20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003;20231003
;;;20231031;20231031;20231031;;20231031;20231031;;;;20231031;20231031;20231031;20231031
;;;;;;;;;;;;20231122;;;
20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225;20231225
20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226;20231226
20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101;20240101
